 STT , Mã yêu cầu , Loại yêu cầu , Đơn vị  ,Số lượng yêu cầu theo hợp đồng,Số lượng yêu cầu đã thực hiện,Số lượng yêu cầu còn lại theo hợp đồng,Quý 1,,,,Quý 2,,,,Quý 3,,,,Quý 4,,,,Quý 5,,,,Quý 6,,,,Quý 7,,,,Quý 8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tổng,T1,T2,T3,Tổng,T4,T5,T6,Tổng,T7,T8,T9,Tổng,T10,T11,T12,Tổng,T13,T14,T15,Tổng,T16,T17,T18,Tổng,T19,T20,T21,Tổng,T22,T23,T24
2,SBHD02,Thực hiện cập nhật tham số trên hệ thống sao lưu, Yêu cầu ,,,,144,56,37,51,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
3,SBHD03,Thực hiện cập nhật cấu hình trên thiết bị sao lưu, Yêu cầu ,,,,0,0,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
4,SBHD04,Thực hiện/phối hợp khôi phục dữ liệu hoặc kiểm tra định kỳ việc khôi phục dữ liệu, Yêu cầu ,,,,0,0,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
5,SBHD05,Thực hiện xử lý các cảnh báo phần cứng trên thiết bị/phối hợp trong trường hợp bảo hành thiết bị, Yêu cầu ,,,,0,0,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
 II , II , Yêu cầu quản trị hạ tầng CNTT  , Yêu cầu ,"16,162","2,064","14,098","2,064",691,691,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II.1,,Yêu cầu quản trị phần mềm nền tảng (middleware),Yêu cầu,"3,314",433,"2,881",433,149,146,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MSHD01,"Thực hiện đánh giá hoạt động hàng ngày phân hệ Public internet/ứng dụng core của ứng dụng Hóa đơn điện tử qua hệ thống giám sát theo một trong các yêu cầu sau:
- Đánh giá hiệu năng ứng dụng (RAM; CPU; HDD; CCU; I/O;..)
- Đánh giá thời gian phản hồi của ứng dụng (với từng server logic)
- Đánh giá tài nguyên ứng dụng sử dụng (heapsize; cache;...)", Yêu cầu ,,,,336,109,108,119,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
2,MSHD02,"Rà soát, cập nhật, xây dựng tài liệu checklist và hướng dẫn thực hiện checklist hệ thống ứng dụng định kỳ 3 tháng/lần hoặc khi có thay đổi hoặc phân tích thấy cần thiết phải bổ sung", Yêu cầu ,,,,1,0,0,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
3,MSHD03,"Rà soát, đánh giá và đề xuất thay đổi cấu hình trên một máy chủ ứng dụng hoặc một cấu phần ứng dụng đảm bảo tối ưu hệ thống theo một trong các yêu cầu sau:
- Đánh giá bản vá/phiên bản mới đề xuất phương án với ứng dụng cụ thể.
- Thực hiện kiểm thử bản vá/phiên bản middleware
- Xây dựng tài liệu cài đặt/update bản vá/phiên bản của middleware
- Thực hiện đánh giá tham số nền tảng middleware", Yêu cầu ,,,,96,40,38,18,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
4,MSHD04,Rà soát/cập nhật tài liệu thiết kế/thông số hệ thống ứng dụng 3 tháng/lần hoặc khi có thay đổi, YC ,,,,0,0,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
II.2,,Yêu cầu quản trị hệ thống cơ sở dữ liệu (Database), Yêu cầu ,"12,848","1,631","11,217","1,631",542,545,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MDHD01,"Rà soát, đánh giá, đề xuất tinh chỉnh cấu hình (nếu có) hệ thống giám sát/báo cáo hoạt động của hệ thống CSDL", Yêu cầu ,,,,12,2,5,5,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
2,MDHD02,"Rà soát, đánh giá, đề xuất tinh chỉnh cấu hình các thông số liên quan đến các object (nếu có) của CSDL", Yêu cầu ,,,,22,2,16,4,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
3,MDHD03,"Rà soát, đánh giá, đề xuất tinh chỉnh (nếu có) các tham số đồng bộ dữ liệu giữa các node của CSDL; của Datacenter/Cluster", Yêu cầu ,,,,470,188,129,153,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
4,MDHD04,"Thực hiện cấu hình, tinh chỉnh hệ thống CSDL theo các giải pháp đề xuất được phê duyệt.", Yêu cầu ,,,,26,3,18,5,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
5,MDHD05,Xây dựng/hiệu chỉnh tài liệu quản trị/tài liệu vận hành (Checklist)., Yêu cầu ,,,,6,2,2,2,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
6,MDHD06,Đánh giá và lập báo cáo đánh giá hoạt động của hệ thống CSDL., Yêu cầu ,,,,"1,076",339,368,369,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
7,MDHD07,"Rà soát, cập nhật tài liệu thiết kế/tài liệu thông số/tài liệu quy trình cài đặt hệ thống CSDL.", Yêu cầu ,,,,19,6,7,6,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
